X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-77.007652509584972,38.904698974312325,3259,{B04DC68C-C01D-42CC-B75E-5177630E237F},3259,Other Walking Issue,2015-07-17T17:07:35.000Z,Unassigned,12858,There is a lack of sidewalks on the north side of most of Pierce Street.,Pedestrian
-77.015781974539493,38.96495864750041,4241,{18567CA3-4476-4BFA-888C-B1821FABDF51},4241,Stop sign running,2015-07-31T02:11:41.000Z,Unassigned,11906,Just observed 2 cars nearly hit each other here as one did not stop at the intersection and the other sped through at a dangerous speed.,Pedestrian
-76.995325871297467,38.884332481178923,2690,{9166F093-370C-4C9B-B1A5-D4B1BB977FB7},2690,Jaywalking,2015-07-15T18:29:41.000Z,Unassigned,7062,,Pedestrian
-77.058724002314648,38.886172383440481,665,{4B84B191-008B-4C30-8AEB-E1050C4021D2},665,Other Walking Issue,2015-07-01T17:50:06.000Z,Unassigned,11825,No way for bikers or pedestrians to cross.,Pedestrian
-77.002042013805664,38.90565275294734,6785,{457C8473-E8EC-4546-8390-EF39D35CD383},6785,Accessibility Issue,2015-09-04T20:51:10.000Z,Unassigned,907,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.,Pedestrian
-77.00906229995509,38.907355776536171,3260,{E4238097-825B-4E88-96BF-5718E35E2857},3260,Blocking the crosswalk,2015-07-17T17:14:49.000Z,Unassigned,8124,Cars frequently back up into the intersection/crosswalk making this intersection dangerous to cross.,Pedestrian
-77.019899312887503,38.968385367987239,4226,{9544B22F-F3C1-43CA-A4D7-DEB78ACA27C1},4226,Accessibility Issue,2015-07-31T02:13:57.000Z,Unassigned,7930,"This intersection lacks curb ramps, which is really problematic given that it is directly across from a school. It would also benefit from better signage to slow down drivers and improve safety.",Pedestrian
-77.038498098821748,38.907369568944766,655,{7C958314-C6F3-4CA7-8628-C5BB2A85F2C8},655,Other Walking Issue,2015-07-01T17:27:39.000Z,Unassigned,10230,"Sewer drain is entirely blocked by dirt and debris, so when it rains the whole street is flooded and pedestrians or wheelchair users cannot cross at NE corner of 17 & N Sts NW",Pedestrian
-76.990199700101442,38.902710740659067,6786,{57C45E21-EEC7-4CE2-85E0-BFBC07BEDD5C},6786,Accessibility Issue,2015-09-04T20:59:04.000Z,Unassigned,8987,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.,Pedestrian
-76.992881252518075,38.889811125378678,2691,{D8426516-ECBA-454C-A7E4-BD08013F9E21},2691,Poor visibility,2015-07-15T18:30:18.000Z,Unassigned,6164,,Car Driver
-77.009053179677039,38.910802555831971,3261,{9103F7A4-26BE-4B8E-88DD-89D5FBE325E2},3261,Blocking the crosswalk,2015-07-17T17:15:34.000Z,Unassigned,9282,Traffic usually caused cars to block the intersection making it difficult to cross.,Pedestrian
-77.017048015147623,38.966141542881672,4242,{D918E234-899F-4E66-8D26-8F60433A6BD5},4242,Speeding,2015-07-31T02:15:41.000Z,Unassigned,11700,Drivers are encouraged to speed here because of the wide street.,Car Driver
-76.98456440634375,38.892127477479256,2852,{0C1E9E8C-AE72-46CB-BC7C-F906EDCA01C6},2852,Speeding,2015-07-16T13:18:49.000Z,Unassigned,12333,"Drivers are reckless and aggressive at this intersection when going onto Constitution or continuing on North Carolina. Given the proximity to Maury, this is a safety issue.",Pedestrian
-77.001590685862823,38.907243127382415,3262,{A494431B-E387-4753-A536-3FD83811FAFF},3262,Other Walking Issue,2015-07-17T17:32:49.000Z,Unassigned,9171,Lack of sidewalk on North side of street.,Pedestrian
-76.996169609510545,38.900212652271165,6787,{96B37474-8412-499F-9407-80898BDBDC5D},6787,Accessibility Issue,2015-09-04T21:12:16.000Z,Unassigned,643,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.,Pedestrian
-77.036555948489649,38.992129217063834,4287,{58D9F4AA-0A76-41E1-949E-5794599E6ED8},4287,Speeding,2015-08-01T02:22:14.000Z,Unassigned,269,"Cars make the turn from southbound 16th Street to North Portal Drive at a high rate of speed, not watching out for pedestrians crossing North Portal.",Pedestrian
-77.025986222525432,38.903499837835085,2853,{AE6D5517-CE92-470E-9688-DF3849492E51},2853,Failure to stop for pedestrians,2015-07-16T13:22:10.000Z,Unassigned,1820,"Cars turning left (SB onto 10th St.) from WB Mass Ave fail to yield to peds in crosswalk. In their rush to avoid oncoming traffic, cars make unsafe judgments and disregard peds in crosswalk.",Pedestrian
-77.003512682427171,38.912612284591063,3263,{08E71B76-8B2D-457F-AC13-9135183DFCD3},3263,Poor visibility,2015-07-17T17:34:48.000Z,Unassigned,9382,"With U-Haul truck bays, it may be hard to notice pedestrians. Extra signage could help.",Pedestrian
-76.994963063983491,38.90021080483028,6788,{7CB76573-F1AD-411F-856D-5AB5DC57909F},6788,Accessibility Issue,2015-09-04T21:12:42.000Z,Unassigned,2041,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.,Pedestrian
-77.039457721585933,38.89894509546567,4301,{DBB6B329-A171-4E2E-9BE8-44F07E1EA32F},4301,Blocking the crosswalk,2015-08-01T03:46:16.000Z,Unassigned,9179,"During the morning rush hour, cars perpetually block the intersection and crosswalk",Pedestrian
-77.048005354123617,38.911234207998369,656,{85D3A24D-1CA1-4D5F-9C27-12189EE39A4E},656,Other Driving Issue,2015-07-01T17:28:01.000Z,Unassigned,10015,"There are two lanes of eastbound Q Street west of Massachusetts Avenue, both with straight arrows painted on the pavement. Cars in the left lane often turn right onto Massachusetts Ave.",Biker
-77.02631787160729,38.903706198148939,3264,{5357980C-8B3D-4E5F-8377-6DBDD65B7DB7},3264,Other Biking Issue,2015-07-17T17:52:47.000Z,Unassigned,985,"L Street bike lane ends, no shoulder on Mass Ave. A tree sticks out right here on the sidewalk, making it really hard to see pedestrians/other bikers on the sidewalk but its less safe on the road.",Biker
-77.001300109818672,38.905648750351482,6789,{89FB18EF-FD5C-4C1E-BACE-DCB6E3751A19},6789,Accessibility Issue,2015-09-04T21:19:13.000Z,Unassigned,7566,Add bumps on corner of ramps on sidewalk on both sides for DeafBlind and Blind to know its the end/beginning of sidewalk.,Pedestrian
-77.019439056169574,38.913190062631536,2854,{73EF0DAE-6014-4877-B646-D5B33AC2B6E1},2854,Speeding,2015-07-16T13:22:28.000Z,Unassigned,3287,Drivers blast down Rhode Island Ave,Biker
-77.041705034326611,38.899767640335781,4302,{6345964A-5CE9-4219-BA88-379AED44873E},4302,Blocking the crosswalk,2015-08-01T03:47:44.000Z,Unassigned,7217,"During the morning rush hour, cars block the intersection and the crosswalk, and aggressively speed up to clear the intersection even when the light has changed and pedestrians have the right-of-way to cross 18th st.",Pedestrian
-77.027037008372062,38.914632197949835,634,{548901F9-1923-4E7E-B1DA-1BB6E086321C},634,Cyclist behavior,2015-07-01T17:29:52.000Z,Unassigned,9819,"Cyclist constantly run this light when south-bound on 11th St and its impossible to see the traffic entering from the northeast on Vermont. Ranges from merely rude to very dangerous based on whether anyone is coming, how fast, etc.",Biker
